;title;text;label
0;Palestinians switch off Christmas lights in Bethlehem in anti-Trump protest;RAMALLAH, West Bank (Reuters) - Palestinians switched off Christmas lights at Jesus  traditional birthplace in Bethlehem on Wednesday night in protest at U.S. President Donald Trump s decision to recognize Jerusalem as Israel s capital. A Christmas tree adorned with lights outside Bethlehem s Church of the Nativity, where Christians believe Jesus was born, and another in Ramallah, next to the burial site of former Palestinian leader Yasser Arafat, were plunged into darkness.  The Christmas tree was switched off on the order of the mayor today in protest at Trump s decision,  said Fady Ghattas, Bethlehem s municipal media officer.  He said it was unclear whether the illuminations would be turned on again before the main Christmas festivities. In a speech in Washington, Trump said he had decided to recognize Jerusalem as Israel s capital and move the U.S. embassy to the city. Israeli Prime Minister Benjamin Netanyahu said Trump s move  marked the beginning of a new approach to the Israeli-Palestinian conflict and said it was an  historic landmark . Arabs and Muslims across the Middle East condemned the U.S. decision, calling it an incendiary move in a volatile region and the European Union and United Nations also voiced alarm at the possible repercussions for any chances of reviving Israeli-Palestinian peacemaking. ;1
1;China says Trump call with Taiwan president won't change island's status;BEIJING (Reuters) - U.S. President-elect Donald Trump’s call with Taiwan President Tsai Ing-wen was a “petty” move by Taiwan that does not change its status as part of China, China’s Taiwan Affairs Office said on Saturday. China will “unswervingly” stick to its position of opposing Taiwan independence, it said, in a statement released on the official Xinhua news agency. ;1
2; FAIL! The Trump Organization’s Credit Score Will Make You Laugh;While the controversy over Trump s personal tax returns continues, business credit rating company Nav decided to take a look at his business  credit, and published the results on their website. Nav, which actually does have an A+ rating from the Better Business Bureau (as opposed to Trump U. s final rating), pulled together the factors affecting business credit scores and discovered something truly laughable.The highest possible business score is 100. The Trump Organization s score is 19. Nineteen. As in more than 15 but less than 20, and it s actually dropped 18 points. This puts the company in the medium to high-risk category:The organization is considered highly likely to default on its debts, and it averages sending payments 17 days late. They also have six derogatories, which can be delinquent loans that have been turned over to collections, as well as tax liens and judgments against the organization. According to Nav, that last one usually means the business was the defendant in a lawsuit and is now required to pay damages to the plaintiff.Compare that to the Clinton Foundation, which has a score of 42. 42 isn t great, but it s a hell of a lot better than the Trump Organization s.*Note: The Clinton Foundation has been around since 1997, but has only been known in its current form for the last three years.Despite not having stellar credit either, the Clinton Foundation also has no derogatories and makes its payments on time.This whole thing is laughable considering the wonderful businessman Trump seems to think he is. It s even more laughable considering that Trump says nobody knows debt better than he does. In August, he boasted that he has  very little debt  relative to his assets.Regardless of whether that s true, the fact that the Trump Organization s credit score is so low suggests that Trump is either not nearly as good at managing what debt he does have as well as he claims, or he s not nearly as good at managing his businesses as well as he claims.This credit score is hilarious.Featured image by Scott Olson via Getty Images;0
3;Zimbabwe military chief's China trip was normal visit, Beijing says;BEIJING (Reuters) - A trip to Beijing last week by Zimbabwe s military chief was a  normal military exchange , China s Foreign Ministry said on Wednesday, after the military in the southern African nation seized power. Zimbabwe s military took control targeting  criminals  around President Robert Mugabe but gave assurances on national television that the 93-year-old leader and his family were  safe and sound . General Constantino Chiwenga met Chinese Defence Minister Chang Wanquan in Beijing on Friday, where Chang expressed a willingness to promote relations with Zimbabwe, China s Defence Ministry said in a short statement last week. The ministry showed a picture of the two men, both wearing military uniform, shaking hands, and another one of officers from both countries sitting opposite each other holding a meeting at the People s Liberation Army headquarters in Beijing. Asked whether Chiwenga had briefed China on plans to seize power, Chinese Foreign Ministry spokesman Geng Shuang said the Defence Ministry had already released information about his trip and that he didn t have an understanding about the specifics of his reception in China.  I can only tell you that his visit to China this time was a normal military exchange mutually agreed upon by China and Zimbabwe,  Geng said, referring other questions to the Defence Ministry, which has yet to respond to a request for comment.  As a country that is friendly with Zimbabwe, we are paying close attention to developments of the situation in Zimbabwe,  Geng added.   Maintaining peaceful and stable development accords with the fundamental interests of Zimbabwe and regional countries, and is the common desire of the international community. We hope the relevant parties in Zimbabwe appropriately handle their internal matters.  In contrast to his elevated status on the continent, Mugabe is reviled in the West as a despot whose disastrous handling of the economy and willingness to resort to violence to maintain power destroyed one of Africa s most promising states. China and Zimbabwe have a close diplomatic and economic relationship and Beijing has stood with Mugabe s government in the face of Western economic sanctions. In August, Zimbabwe s government said a Chinese company planned to invest up to $2 billion to revive operations at Zimbabwe Iron and Steel Company (ZISCO), which ceased production in 2008 at the height of Zimbabwe s economic meltdown. That same year, China vetoed a proposed Western-backed U.N. resolution which would have imposed an arms embargo on Zimbabwe and financial and travel restrictions on Mugabe and 13 other officials, saying it would  complicate , rather than ease, conflict.;1
4;THE MOST UNCOURAGEOUS PRESIDENT EVER Receives A Courage Award…Proceeds To Whine About Current President;There has never been a more UNCOURAGEOUS person in the White House than Barack Obama. He never faced a decision on foreign affairs without backing down. Yes, he s the one who gave Iran the opportunity to have nuclear capability. Remember the red line with Syria?When his horrible policies didn t work out, he never took the blame but pointed at anyone and everyone for his idiotic decisions. Who could forget the Stimulus, the boondoggle of Solendra and Obamacare He never took responsibility for his failures like a COURAGEOUS man would.So what did he do when he received the Profile in Courage Award? He begged Congress to keep Obamacare and trashed our current President .Courage? Meh!We couldn t have voiced our outrage better than Katie Pavlich: This frickin  guy Former President Barack Obama returned to the spotlight Sunday to accept an award for political courage from the John F. Kennedy family, days after House Republicans won passage of a bill dismantling much of his signature health care law.The Democrat has made few public appearances since leaving office in January, and has avoided mention of his Republican successor in the White House, even as President Donald Trump has criticized the previous administration numerous times while moving to undo many of Obama s initiatives.Obama and former first lady Michelle Obama arrived at the John F. Kennedy Presidential Library and Museum for a dinner and ceremony to accept the annual Profile in Courage award, named for a 1957 Pulitzer Prize-winning book by Kennedy that profiled eight U.S. senators who risked their careers by taking principled though unpopular positions.Among the long line of guests who made their way down the red carpet into the library for the event Sunday night were members of the Kennedy family, members of Congress, former Obama staffers and celebrities including former late-night talk show host David Letterman.David Letterman? Who s that?Read more: NYP;0
5;Suspected Boko Haram suicide bombers kill at least 13 in Nigeria: officials;BAUCHI, Nigeria (Reuters) - Suspected Boko Haram suicide bombers have killed at least 13 other people in an attack on a market in the northeast Nigerian town of Biu in Borno state, officials said on Saturday. The blasts struck while aid workers were distributing food to people affected by the eight-year conflict with Boko Haram, said Aliyu Idrisa, a community leader. In addition to the 13 victims, 53 people were injured and two bombers were killed, said Victor Isuku, police spokesman for Borno state. Saturday s attack bore the hallmarks of Boko Haram, which uses suicide bombers, often women and girls, to attack crowded public spaces.  Last week, a suicide bombing at a mosque in the northeastern town of Mubi killed at least 50 people, one of the deadliest attacks in recent years. The government has said its long-term plan for the northeast is to corral civilians inside fortified garrison towns and effectively cede the countryside to Boko Haram. That plan and a string of deadly attacks have raised questions about assertions by the Nigerian government and military that Boko Haram s Islamist insurgency has been all but wiped out.;1
6;WATCH: John Oliver Presents GOP Debates As ‘Clowntown F*ck-the-World Sh*tshow 2016’;John Oliver isn t known for mincing words when it comes to his description of Republicans. Last night was no exception as he left no hold barred when he discussed the insanity of the Republican candidates during the debates.His primary focus was on the man that has an uncanny tendency for outdoing himself for his insane behavior: Donald Trump. This time, however, he had a partner in Marco Rubio. After showing a clip of Rubio s  size-of-hands-equals-penis joke and Trump s response, Oliver said: That s right, Donald Trump just talked about his dick during a presidential debate. A dick which I presume looks like a Cheeto with the cheese dust rubbed off! Building on the momentum, Oliver included clips of many Republicans disavowing their support for Republican front runner Donald Trump, including commentator Doug Heye who called a possible Trump nomination,  an abortion on our own party and the end of the Republican Party as we know it.  Oliver said: Holy shit! You know they re getting desperate when they re just throwing in their favorite buzzwords. He won t just be an abortion, he ll be a sharia law wrapped in a Benghazi-themed gay wedding. Oliver then went on to give a reading of from former wife Ivana Trump s creepy thinly-veiled autobiographical soft-core novel For Love Alone, as read by actress Morgan Fairchild: In a moment, they were on the floor, on top of the mink coat, Katrinka s legs gripping his waist, as he moved deeper and deeper into her.  As Adam pulled away from her, his c*ck fell for a moment into the valley between her legs, leaving a smear of semen on the dark silk. He smiled with satisfaction.  Now you have to keep the coat. Watch the video here: Featured image via video screenshot.;0
7;Senate Democrats ask Trump attorney general pick to recuse himself from Russia probes;WASHINGTON (Reuters) - Nine Democratic senators asked President-elect Donald Trump’s nominee to be U.S. attorney general, Senator Jeff Sessions, on Tuesday to recuse himself from any FBI or Justice Department investigation into Russia’s efforts to interfere with the 2016 presidential election. The request was signed by every Democrat on the Senate Judiciary Committee, the panel responsible for confirming Sessions’ appointment. It comes amid growing concern in the U.S. Congress about what U.S. intelligence agencies have concluded was hacking and other actions by Russia during the election campaign aimed at tilting the November vote in Trump’s favor, and about potential personal or financial connections between Trump associates and Moscow.  The letter also asked Sessions, who as attorney general would be the country’s top law enforcement official and head of the Justice Department, to commit to not shutting down any investigation into Russia’s activities. FBI Director James Comey last week declined to comment on whether or not the FBI might be investigating links between Russia and associates of Trump. The president-elect frequently called during the campaign for improved relations between Washington and Moscow. A spokesman for Sessions, who is expected to be confirmed in the job by the Republican-controlled Congress, did not immediately respond to a request for comment about the letter.  On Friday the leaders of the Senate Intelligence Committee said their panel would investigate allegations Russia used cyber attacks to influence the U.S. presidential election, including any links between Russia and the political campaigns.  Classified documents that the heads of four U.S. intelligence agencies presented earlier this month to Trump included unsubstantiated information compiled by a private security firm suggesting Moscow had compromising personal and financial details about Trump.  Trump has called the dossier that contains salacious claims about him in Russia “fake news” and “phony stuff.”  The Senate Judiciary Committee held a confirmation hearing last Tuesday for Sessions, a Republican and early backer of Trump’s candidacy. He declined to comment on news reports that emerged late in the hearing about the dossier, saying he had no information about the matter at that time. “We understand that you may have been unaware of this news report at the time, which is why we would like to give you another opportunity to respond,” the senators wrote. During his testimony, Sessions said he would recuse himself from investigations involving Trump’s rival for the White House, Democrat Hillary Clinton, saying comments he made during the campaign about her email practices and charitable foundation would cloud the perception of impartiality at the Justice Department. He said he would instead favor a special prosecutor to carry out any future Clinton probes.;1
8; Trump HUMILIATES Republicans In Latest Hissy Fit After Siding With Democrats On Debt Ceiling;Donald Trump sure knows how to add insult to injury.Republicans in Congress must be seriously regretting their decision to endorse Trump now after they were totally humiliated on Thursday at the White House.During a meeting inside the Oval Office to discuss debt ceiling proposals, Trump stunned Paul Ryan and Mitch McConnell by taking a deal offered by the Democrats which increases the debt ceiling for three months and provides Texas with Hurricane Harvey relief with no strings attached. Republicans were hoping for an 18 month increase and wanted to hold hurricane relief hostage in order to get concessions from the Democrats on other issues.But Trump pulled the rug out from under them because he knows that Republicans are incapable of governing even with majority control of the House and Senate.And that s why Trump kicked Republicans while they were down on Friday morning, suggesting he took the Democrats  offer because of Republican failures to pass legislation. He then whined about the filibuster and asked Republicans to work on tax reform and get it done before the end of the month.Republicans, sorry, but I ve been hearing about Repeal & Replace for 7 years, didn t happen! Even worse, the Senate Filibuster Rule will .  Donald J. Trump (@realDonaldTrump) September 8, 2017 never allow the Republicans to pass even great legislation. 8 Dems control   will rarely get 60 (vs. 51) votes. It is a Repub Death Wish!  Donald J. Trump (@realDonaldTrump) September 8, 2017Republicans must start the Tax Reform/Tax Cut legislation ASAP. Don t wait until the end of September. Needed now more than ever. Hurry!  Donald J. Trump (@realDonaldTrump) September 8, 2017Republicans are not going to get tax reform done by the end of the month. They have even passed the debt ceiling bill with Hurricane Harvey relief yet. The GOP is a fractured party right now, the majority of whom are controlled by an extremist base.Trump would be better off working with the Democrats. He d not only get things done, he would be able to sign legislation that is far better for the country.Featured Image: Alex Wong/Getty Images;0
9;MACY’S GETS THE BOOT FROM LOYAL CUSTOMERS AFTER FIRING TRUMP;I know Patty and I are boycotting Macy s for dumping Donald Trump. It looks like thousands of Americans are also really sick and tired of all the pc actions taken by companies like Macy s. Boycott Macy s!Macy s is paying the price for sacking Donald Trump, because we ve learned thousands of customers are cutting up their Macy s credit card in protest.Sources connected to the department store tell TMZ, Macy s has received complaints from approximately 30,000 customers since ending its relationship with Trump nearly 2 weeks ago. We re told the store has been  inundated with complaints  from customers who believe the department store is unfairly punishing Trump for his views on immigration. Our sources say thousands of customers have vowed never to shop at Macy s again and many of them say they re cutting up their Macy s credit card to make a statement. We re told the complaints have come in various ways, including phone, Facebook and email. A Macy s spokesperson would only say,  Our Facebook page is often times used by our customers to express their feelings or points of view. Many times it does not correlate to any action. Read more: TMZ;0
